timestamp	ICAO_address	lat	lon	altitude	heading	hor_velocity	ver_velocity	valid_flags	alt_type	callsign	emitter_type	tslc
1750683306	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	5
1750683306	A98046	636180736	-1491193344	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683307	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	6
1750683307	A98046	636169408	-1491201792	5791200	19816	13838	65471	01BF	0	CFS7663	2	1
1750683308	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	7
1750683308	A98046	636156928	-1491210368	5791200	19816	13838	65471	01BF	0	CFS7663	2	1
1750683309	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	8
1750683309	A98046	636143616	-1491219840	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683310	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	9
1750683310	A98046	636130368	-1491229312	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683311	AE63B4	627885120	-1481656832	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683311	A98046	636119872	-1491237760	5791200	19816	13838	0	01BF	0	CFS7663	2	1
1750683312	AE63B4	627885120	-1481656832	7018019	21268	23510	65504	01BF	0	SHAMN11	5	0
1750683312	A98046	636109312	-1491245696	5791200	19816	13838	0	01BF	0	CFS7663	2	1
1750683313	AE63B4	627885120	-1481656832	7018019	21268	23510	65504	01BF	0	SHAMN11	5	1
1750683313	A98046	636095872	-1491255680	5791200	19816	13838	0	01BF	0	CFS7663	2	1
1750683314	AE63B4	627885120	-1481656832	7018019	21268	23510	65504	01BF	0	SHAMN11	5	2
1750683314	A98046	636084608	-1491264128	5791200	19816	13838	32	01BF	0	CFS7663	2	1
1750683315	AE63B4	627814208	-1481755520	7010399	21268	23510	65504	01BF	0	SHAMN11	5	1
1750683315	A98046	636074880	-1491270912	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683316	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	1
1750683316	A98046	636064000	-1491278976	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683317	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	2
1750683317	A98046	636046464	-1491291776	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683318	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	3
1750683318	A98046	636040192	-1491296896	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683319	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	4
1750683319	A98046	636029248	-1491305088	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683320	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	5
1750683320	A98046	636015488	-1491314816	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683321	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	6
1750683321	A98046	636003200	-1491323648	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683322	AE63B4	627814208	-1481755520	7010399	21268	23510	0	01BF	0	SHAMN11	5	7
1750683322	A98046	635990272	-1491333888	5791200	19823	13787	0	01BF	0	CFS7663	2	1
